age,sex
49,1
40,1
43,2
25,2
47,1
21,2
45,1
34,1
35,2
38,1
37,2
42,2
32,2
49,1
40,1
30,2
37,NA
29,2
38,1
24,1
32,1
41,2
46,2
24,1
38,1
33,1
59,1
28,1
38,1
56,1
46,1
30,2
42,1
43,1
41,2
41,2
42,1
52,2
52,1
35,1
39,1
51,1
41,1
46,2
49,1
44,1
44,2
27,1
41,1
61,1
29,2
53,2
44,2
49,2
37,1
46,1
42,1
33,1
50,1
26,2
36,1
28,1
52,2
44,2
27,1
43,2
32,2
47,1
62,1
38,1
40,2
45,1
32,1
36,1
53,2
34,2
45,1
37,1
37,1
48,1
35,2
65,1
53,1
52,1
45,1
38,1
40,1
46,1
37,2
36,1
35,2
65,1
37,2
31,2
41,2
33,2
36,2
33,1
39,1
57,2
36,2
30,1
25,2
55,1
32,2
57,2
44,1
33,1
34,2
65,1
50,1
35,1
38,2
25,1
53,1
33,1
45,2
38,1
33,2
57,2
44,2
53,1
48,1
45,2
40,1
40,1
41,1
23,1
35,2
34,1
40,2
51,1
41,2
30,1
56,1
50,1
41,2
48,1
29,1
55,1
52,2
45,1
57,2
29,2
64,2
38,1
40,1
53,2
41,1
21,2
45,1
43,1
53,1
40,1
33,1
44,NA
35,1
47,2
38,1
44,2
38,1
40,1
61,1
38,1
29,2
40,2
42,1
34,1
52,2
46,1
37,1
54,2
45,2
51,1
40,2
37,2
25,2
38,2
53,1
52,1
37,1
33,3
45,1
45,1
42,1
54,1
49,2
35,2
52,2
46,1
29,1
67,1
49,2
44,1
41,1
27,2
57,2
40,1
40,2
44,1
32,2
47,1
33,2
44,1
51,1
44,2
39,2
57,2
49,2
39,2
25,2
37,1
36,1
43,1
53,1
37,1
46,1
31,2
52,2
50,1
29,1
34,2
31,2
32,2
37,1
53,2
31,2
71,1
51,1
45,1
34,2
39,1
50,2
36,2
46,2
48,2
33,1
67,1
28,2
40,2
49,1
48,1
29,2
60,2
52,2
38,2
68,1
43,1
51,2
28,2
43,2
50,2
51,2
42,2
49,1
39,2
35,1
43,1
27,1
43,1
56,2
31,2
45,2
34,1
41,2
60,1
38,2
41,2
53,1
36,1
75,2
52,3
52,1
34,2
44,2
42,2
38,1
39,2
57,2
52,2
33,2
41,1
59,1
49,2
48,2
50,1
49,1
49,1
40,1
45,1
49,1
36,2
44,1
43,2
26,1
45,1
39,2
41,1
60,1
49,1
56,1
31,1
