age,sex
33,1
59,1
37,2
42,1
44,2
44,2
36,2
45,1
57,2
28,1
68,2
42,2
38,1
37,2
52,2
43,1
42,1
39,1
27,1
59,1
48,2
30,2
55,1
50,2
43,1
68,1
46,2
62,2
40,1
34,2
49,1
45,2
37,1
47,2
32,2
36,1
34,1
46,2
42,1
33,2
36,2
40,2
39,1
55,2
39,2
44,2
41,2
48,2
26,2
58,1
48,1
46,2
38,2
51,1
36,2
60,2
55,2
38,1
21,1
35,1
40,1
47,1
27,2
47,1
54,1
39,2
41,2
30,1
54,1
57,1
42,1
31,2
36,2
53,2
28,1
30,2
39,1
38,2
53,2
65,1
30,1
70,2
32,1
48,2
33,2
35,1
45,1
24,2
40,2
75,1
34,2
44,1
35,1
31,2
63,2
42,2
32,1
31,2
58,2
65,1
42,2
23,2
57,2
47,2
43,1
32,1
49,2
30,1
48,2
61,1
32,2
28,2
46,1
71,1
31,2
45,2
39,2
39,2
34,1
60,2
37,1
35,1
34,2
38,1
56,1
46,1
46,2
23,1
51,2
44,1
62,1
41,1
28,1
49,1
56,1
56,2
35,1
52,NA
30,2
38,1
45,1
43,1
43,2
31,2
55,2
35,2
49,1
47,1
46,2
43,1
57,2
53,1
54,1
37,1
46,1
41,2
62,1
40,1
53,1
32,2
39,2
31,1
41,1
47,2
51,2
61,1
32,2
43,1
55,1
36,2
60,1
35,1
38,2
43,2
42,1
28,1
36,2
49,2
46,1
28,1
44,1
18,2
51,1
25,2
41,2
65,1
68,2
46,1
33,2
48,2
29,1
30,1
43,1
27,1
38,1
37,1
37,2
35,1
39,1
34,1
43,1
22,2
55,2
49,2
56,2
46,2
48,1
54,1
32,1
47,2
53,2
33,1
42,1
32,2
44,1
27,2
22,1
32,2
30,2
38,2
36,1
32,1
23,2
48,2
46,2
30,2
24,2
58,2
43,2
54,1
30,2
74,1
47,2
21,1
40,1
41,2
50,2
44,1
68,1
47,1
26,2
51,2
68,2
56,2
25,2
45,2
51,2
33,NA
59,2
35,2
50,1
31,2
35,1
28,1
33,2
49,2
51,2
33,2
29,2
42,2
43,2
31,2
25,2
33,2
32,2
56,2
52,2
49,2
49,2
47,2
38,2
39,1
59,1
44,1
45,1
34,1
30,1
48,1
57,1
20,2
25,1
31,2
38,1
39,2
42,1
44,2
46,1
54,2
41,2
21,1
19,1
44,2
45,1
54,2
41,2
40,1
51,2
41,1
34,1
25,2
64,2
44,2
