age,sex
34,1
46,1
31,1
27,2
37,1
25,2
29,1
33,1
26,1
29,2
30,2
29,1
34,1
43,2
33,1
35,2
27,2
41,1
32,1
35,2
22,99
40,1
52,1
50,1
59,2
42,2
44,2
41,1
30,1
26,2
41,2
34,2
44,2
41,2
62,1
49,1
47,1
34,2
41,2
32,2
29,2
28,2
34,2
55,1
39,1
47,1
51,1
35,2
55,2
43,1
44,1
51,1
36,2
63,2
30,1
31,2
42,2
38,1
42,1
36,1
41,2
28,1
45,2
38,2
44,2
44,1
60,1
42,2
29,1
36,1
35,1
34,2
39,2
32,1
23,1
45,1
37,1
42,2
48,1
54,2
59,1
28,2
60,2
31,1
37,2
56,1
25,1
48,1
23,2
50,2
40,1
31,1
29,1
31,2
28,2
46,1
28,1
35,2
26,2
53,1
50,2
34,2
60,1
34,2
34,2
41,2
62,1
50,2
53,1
52,1
33,2
60,1
50,1
41,1
42,1
54,2
47,1
61,2
41,2
20,1
39,2
58,1
52,1
43,1
42,1
25,2
39,1
42,2
32,2
39,1
57,2
56,1
52,1
60,2
28,2
43,1
45,2
35,2
53,1
28,1
39,2
36,1
30,2
38,1
57,2
48,2
52,2
49,2
34,2
42,2
33,1
39,2
37,1
34,1
36,2
58,2
49,1
63,2
31,1
46,2
47,1
46,1
56,2
38,2
47,2
36,1
49,2
53,1
29,2
26,2
43,2
32,1
37,1
35,1
57,1
53,1
58,2
38,1
36,2
40,1
63,1
44,2
44,1
32,2
38,1
54,1
42,2
53,2
29,2
24,2
31,1
38,1
41,1
28,1
31,2
35,1
29,1
39,1
38,2
39,1
44,1
46,1
51,2
53,1
36,2
53,2
31,1
33,2
42,1
33,2
48,1
37,2
39,1
46,1
30,1
59,2
30,2
37,2
43,1
46,1
26,2
29,2
47,1
47,1
38,1
30,1
42,1
38,1
34,2
35,1
42,1
53,1
32,2
47,2
37,1
64,1
41,2
55,1
25,1
47,3
56,2
39,2
39,2
35,2
21,1
52,1
33,2
35,2
30,1
32,1
20,1
39,2
35,2
31,1
54,1
21,2
34,2
33,1
34,2
55,2
49,1
26,2
36,1
21,2
36,2
30,2
42,2
23,2
25,1
40,2
44,1
33,2
37,2
29,1
58,1
34,1
35,2
38,1
45,1
51,1
25,2
31,2
46,2
54,1
23,2
31,2
41,1
40,1
33,1
42,2
42,2
46,2
30,1
22,2
38,1
29,1
35,2
40,1
58,1
33,2
41,1
34,2
37,2
37,1
29,1
64,1
54,2
62,2
47,1
38,2
46,1
47,2
54,2
40,1
67,1
36,1
34,2
38,2
26,1
44,2
40,2
37,1
42,1
39,1
53,1
61,2
52,2
47,2
32,1
30,2
69,1
52,1
58,2
42,1
52,2
32,2
30,1
45,1
47,1
19,1
47,2
34,1
40,1
36,2
38,1
33,2
48,1
41,1
50,2
41,1
46,1
31,1
35,2
30,2
50,1
65,1
43,2
62,2
28,1
29,2
21,2
52,2
33,2
41,1
63,1
61,1
29,1
23,2
48,1
36,1
33,1
54,2
36,1
23,2
54,1
34,2
29,1
34,1
43,2
55,1
55,2
55,1
59,1
59,2
22,1
30,1
57,1
38,2
48,2
33,1
38,2
29,1
29,1
37,1
30,1
52,1
57,2
44,2
28,1
37,2
33,2
62,1
32,1
33,2
37,2
43,2
32,1
41,1
27,1
49,1
21,2
41,2
50,2
28,99
28,1
49,2
62,2
45,1
34,1
65,2
53,1
35,1
55,2
20,2
36,2
49,1
36,2
31,2
28,1
42,1
25,1
36,1
31,1
37,2
37,2
51,2
28,1
40,2
36,1
41,2
42,2
